VendorNumber,VendorName,Brand,ACTUALPrice,Volume,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,QuantityCategory,unsoldInventoryValue
1128,BROWN-FORMAN CORP,1233,36.99,1750.0,26.27,145080,3811251.6,5101919.51,672819.31,142049.0,260999.19999999998,68601.68,1290667.9099999997,0.2529769251494914,0.9791080783016267,1.3386467348416462,26.27,large,-3586547.23
4425,MARTIGNETTI COMPANIES,3405,28.99,1750.0,23.19,164038,3804041.22,4819073.49,561512.37,160247.0,294438.66,144929.24,1015032.27,0.21062809523579187,0.9768895012131336,1.2668299871892554,23.19,large,-3552089.93
17035,PERNOD RICARD USA,8068,24.99,1750.0,18.24,187407,3418303.68,4538120.6,461140.14999999997,187140.0,343854.07,123780.22,1119816.9199999995,0.2467578583081286,0.9985752933454993,1.3275943347432488,18.240000000000002,large,-3226026.5999999996
3960,DIAGEO NORTH AMERICA INC,4261,22.99,1750.0,16.17,201682,3261197.94,4475972.88,420050.00999999995,200412.0,368242.8,257032.07,1214774.94,0.2713990840802413,0.9937029581221923,1.3724934709114895,16.169999999999998,large,-3038980.0400000005
3960,DIAGEO NORTH AMERICA INC,3545,29.99,1750.0,21.89,138109,3023206.01,4223107.62,545778.28,135838.0,249587.83,257032.07,1199901.6100000003,0.2841276420040653,0.9835564662693959,1.3968970708681545,21.889999999999997,large,-2835384.8200000003
480,BACARDI USA INC,3858,23.99,750.0,17.77,138809,2466635.93,3383912.4,446932.08999999997,141860.0,111699.19,89286.27,917276.4699999997,0.27106980369822803,1.0219798428055817,1.3718734730341822,17.77,large,-2382043.1999999997
17035,PERNOD RICARD USA,2589,39.99,1750.0,30.76,70783,2177285.08,2773367.73,614529.3400000001,69627.0,127931.67,123780.22,596082.6499999999,0.21493098212403297,0.9836683949535906,1.2737733590678901,30.76,large,-2070943.52
3960,DIAGEO NORTH AMERICA INC,3102,17.99,1750.0,12.94,161386,2088334.84,2592041.35,292586.29,148265.0,272422.6,257032.07,503706.51,0.1943281151745515,0.9186980283295949,1.2412000701956396,12.940000000000001,large,-1757163.0999999999
3960,DIAGEO NORTH AMERICA INC,3489,27.99,1750.0,20.73,91835,1903739.55,2640491.19,503661.01999999996,90481.0,166244.44,257032.07,736751.6399999999,0.2790206772096823,0.9852561659498013,1.3870023291789046,20.73,large,-1783836.1300000001
12546,JIM BEAM BRANDS COMPANY,1376,21.99,1750.0,16.29,108866,1773427.14,2435393.39,426902.77999999997,107061.0,196707.35,123880.97,661966.2500000002,0.2718108099981335,0.9834199842007606,1.3732694933269152,16.29,large,-1635157.69
17035,PERNOD RICARD USA,2585,22.99,750.0,16.42,93205,1530426.1,2148965.53,436011.63999999996,91247.0,71840.56999999999,123780.22,618539.4299999997,0.2878312478097309,0.9789925433184915,1.4041615795757794,16.42,large,-1405070.7400000002
3960,DIAGEO NORTH AMERICA INC,2757,29.99,1750.0,22.38,66942,1498161.96,1840615.67,442856.19999999995,61433.0,112875.19,257032.07,342453.70999999996,0.18605389250000245,0.917704878850348,1.2285825692704144,22.38,large,-1307928.54
480,BACARDI USA INC,2663,29.99,1750.0,21.42,69001,1478001.42,2189368.78,495957.83,70122.0,128839.08,89286.27,711367.3599999999,0.3249189293728761,1.0162461413602701,1.4813035700601693,21.419999999999998,large,-1433012.2400000002
10000,MAJESTIC FINE WINES,6570,10.99,750.0,6.77,215668,1460072.3599999999,2326007.78,189608.96,214238.0,24083.77,17587.59,865935.4199999999,0.372283974045865,0.9933694382105829,1.59307705818087,6.77,large,-1234723.26
9165,ULTRA BEVERAGE COMPANY LLP,3650,48.99,750.0,33.81,42951,1452173.31,2009508.61,662320.04,41639.0,32783.09,68054.7,557335.3,0.27734904803418586,0.9694535633629019,1.3837939288389758,33.81,large,-1364863.59
3960,DIAGEO NORTH AMERICA INC,2753,59.99,1750.0,44.77,31596,1414552.92,1739044.28,507291.43,28372.0,52133.72,257032.07,324491.3600000001,0.18659177556997,0.897961767312318,1.2293949949924816,44.769999999999996,large,-1238618.4400000002
17035,PERNOD RICARD USA,5364,29.99,1750.0,23.07,60645,1399080.15,1844950.29,504735.06,59771.0,109817.06999999999,123780.22,445870.14000000013,0.2416705438714016,0.9855882595432435,1.3186880608662772,23.069999999999997,large,-1318271.97
3960,DIAGEO NORTH AMERICA INC,8082,33.99,1750.0,21.73,64249,1396130.77,2068091.16,494487.65,65184.0,119767.49,257032.07,671960.3899999999,0.3249181675337754,1.0145527556849134,1.4813018983887876,21.73,large,-1352199.32
3960,DIAGEO NORTH AMERICA INC,8680,39.99,1750.0,28.88,47546,1373128.48,1884307.34,596574.93,47966.0,88129.8,257032.07,511178.8600000001,0.2712821041178983,1.0088335506667228,1.3722731466468456,28.88,large,-1337712.0799999998
3960,DIAGEO NORTH AMERICA INC,4260,21.99,1750.0,16.66,79078,1317439.48,1635666.58,121065.24999999999,79042.0,145234.95,257032.07,318227.1000000001,0.19455499298640686,0.9995447532815701,1.2415496915273863,16.66,large,-1237761.72
480,BACARDI USA INC,3348,29.99,1750.0,22.38,57349,1283470.62,1766391.1199999999,460087.95,56888.0,104524.54,89286.27,482920.49999999977,0.27339386760504086,0.9919614988927444,1.3762614371336368,22.380000000000003,large,-1215804.44
480,BACARDI USA INC,3857,49.99,1750.0,38.27,33388,1277758.76,1699669.55,589137.79,32945.0,60533.43,89286.27,421910.79000000004,0.24823106938639927,0.9867317599137415,1.3301959675079824,38.27,large,-1227417.1500000001
8664,"STOLI GROUP,(USA) LLC",8112,24.99,1750.0,19.52,61936,1208990.72,1528730.27,392353.54,61323.0,112669.45,18544.49,319739.55000000005,0.2091536723479676,0.9901026866442779,1.264468159027722,19.52,large,-1135088.96
480,BACARDI USA INC,126,32.99,1000.0,20.14,59878,1205942.92,1736610.87,294049.49,58013.0,60913.65,89286.27,530667.9500000002,0.30557677552715085,0.9688533351147333,1.4400440030776915,20.139999999999997,large,-1108503.82
12546,JIM BEAM BRANDS COMPANY,3512,16.99,1750.0,11.76,101480,1193404.8,1624366.6199999999,306439.94,98938.0,181782.13,123880.97,430961.81999999983,0.26531068460394724,0.9749507292077256,1.3611195631189013,11.76,large,-1062030.88
12546,JIM BEAM BRANDS COMPANY,2120,16.99,1750.0,12.21,97473,1190145.33,1554498.4,307670.2,94960.0,174471.93,123880.97,364353.06999999983,0.23438626247540675,0.9742185015337581,1.3061416625480518,12.21,large,-1061988.6
7245,PROXIMO SPIRITS INC.,8159,25.99,1750.0,19.69,59088,1163442.72,1549701.9,431497.81,58610.0,107685.03,38994.78,386259.17999999993,0.2492474068722507,0.9919103709721094,1.331996731218534,19.69,large,-1094942.9000000001
480,BACARDI USA INC,4243,19.99,1750.0,14.49,76389,1106876.61,1657809.59,342678.85,77041.0,141551.61,89286.27,550932.98,0.33232584931542103,1.0085352603123487,1.4977365814966492,14.490000000000002,large,-1039935.0900000001
8112,MOET HENNESSY USA INC,6654,39.99,750.0,27.2,40380,1098336.0,1584665.41,349562.06,38506.0,4316.36,48347.26,486329.4099999999,0.3068972206568199,0.9535908865775137,1.442787462124523,27.2,large,-1006983.2
3960,DIAGEO NORTH AMERICA INC,8512,19.99,750.0,14.72,72952,1073853.44,1456174.78,340626.12999999995,73122.0,57570.69,257032.07,382321.3400000001,0.2625518208741399,1.0023302993749315,1.3560274854639383,14.719999999999999,large,-1003403.8400000001
7245,PROXIMO SPIRITS INC.,3802,18.99,1750.0,13.43,77066,1034996.38,1408627.78,331726.62999999995,74722.0,137288.58,38994.78,373631.4,0.26524494639740814,0.9695845119767472,1.3609977843594003,13.43,large,-926450.46
11567,CAMPARI AMERICA,3826,19.99,1750.0,15.74,65382,1029112.6799999999,1327401.1199999999,352821.77999999997,64388.0,118298.37,20964.81,298288.43999999994,0.22471612800808843,0.9847970389403812,1.289850126032846,15.739999999999998,large,-948085.12
8112,MOET HENNESSY USA INC,42188,52.99,750.0,34.01,29829,1014484.29,1533634.52,132343.67,29498.0,3314.23,48347.26,519150.23,0.3385097448119517,0.9889034161386571,1.5117380674273428,34.01,large,-973397.98
17035,PERNOD RICARD USA,3423,26.99,1750.0,21.25,46163,980963.75,1177834.38,367508.00999999995,44762.0,82244.16,123780.22,196870.6299999999,0.16714627569285243,0.9696510192145225,1.2006910347094883,21.25,large,-905029.5
8004,SAZERAC CO INC,5138,13.99,750.0,11.1,87954,976289.4,1174428.36,257643.31,84289.0,66360.95,50293.62,198138.96000000008,0.16871098037857332,0.9583304909384451,1.2029510511944512,11.1,large,-847653.9
17035,PERNOD RICARD USA,5734,21.99,1750.0,15.82,61639,975128.98,1293182.98,315290.18,60102.0,110429.45,123780.22,318054.0,0.24594663316710216,0.9750644883920895,1.3261660831780429,15.82,large,-889174.64
480,BACARDI USA INC,4227,17.99,1750.0,14.17,68294,967725.98,1323223.53,177578.65,75147.0,138074.09,89286.27,355497.55000000005,0.26866023913586246,1.100345564764108,1.3673535250133515,14.17,large,-996538.99
4425,MARTIGNETTI COMPANIES,3505,18.99,750.0,13.76,69299,953554.24,1355204.97,331321.58999999997,70603.0,55584.909999999996,144929.24,401650.73,0.2963763702844153,1.0188170103464695,1.4212143506383024,13.76,large,-902198.28
1128,BROWN-FORMAN CORP,1232,22.99,750.0,15.93,52932,843206.76,1255188.94,394500.86,53206.0,41888.06,68601.68,411982.17999999993,0.3282232394431391,1.0051764528073754,1.4885897499208853,15.93,large,-794639.58
